"","month","avg_mortgage_rate","avg_home_price","assumed_monthly_rent","monthly_mortgage_payment","monthly_fixed_expense","monthly_cost_of_owning","ownership_vs_renting_difference","ownership_vs_renting_status"
"1",Jan 1987,9.21833333333333,63735,424.9,470.583233558915,90.29125,560.874483558915,-135.974483558915,"Rent"
"2",Feb 1987,9.082,64134,427.56,467.842647767456,90.8565,558.699147767456,-131.139147767456,"Rent"
"3",Mar 1987,9.042,64470,429.8,468.620721910226,91.3325,559.953221910226,-130.153221910226,"Rent"
"4",Apr 1987,9.672,64973,433.153333333333,499.050328779218,92.0450833333334,591.095412112552,-157.942078779218,"Rent"
"5",May 1987,10.596,65547,436.98,543.864269982641,92.85825,636.722519982641,-199.742519982641,"Rent"
"6",Jun 1987,10.57,66218,441.453333333333,548.271190892078,93.8088333333333,642.080024225411,-200.626690892078,"Rent"
"7",Jul 1987,10.29,66785,445.233333333333,540.403242345578,94.6120833333333,635.015325678911,-189.781992345578,"Rent"
"8",Aug 1987,10.318,67269,448.46,545.581363931774,95.29775,640.879113931774,-192.419113931774,"Rent"
"9",Sep 1987,10.776,67623,450.82,569.313108347241,95.79925,665.112358347241,-214.292358347241,"Rent"
"10",Oct 1987,11.22,67902,452.68,592.1634977986,96.1945,688.3579977986,-235.6779977986,"Rent"
"11",Nov 1987,10.714,68092,453.946666666667,570.405746853852,96.4636666666667,666.869413520518,-212.922746853852,"Rent"
"12",Dec 1987,10.625,68343,455.62,568.40040745971,96.81925,665.21965745971,-209.59965745971,"Rent"
"13",Jan 1988,10.428,68581,457.206666666667,561.28379407747,97.1564166666667,658.440210744137,-201.23354407747,"Rent"
"14",Feb 1988,9.946,68914,459.426666666667,541.81937566521,97.6281666666667,639.447542331876,-180.02087566521,"Rent"
"15",Mar 1988,9.918,69323,462.153333333333,543.746258322478,98.2075833333334,641.953841655811,-179.800508322478,"Rent"
"16",Apr 1988,10.202,69788,465.253333333333,560.594130372703,98.8663333333333,659.460463706037,-194.207130372703,"Rent"
"17",May 1988,10.42,70408,469.386666666667,575.858056143916,99.7446666666667,675.602722810582,-206.216056143916,"Rent"
"18",Jun 1988,10.484,71068,473.786666666667,584.313258059236,100.679666666667,684.992924725902,-211.206258059236,"Rent"
"19",Jul 1988,10.432,71686,477.906666666667,586.888516635776,101.555166666667,688.443683302443,-210.537016635776,"Rent"
"20",Aug 1988,10.576,72186,481.24,597.976882833577,102.2635,700.240382833577,-219.000382833577,"Rent"
"21",Sep 1988,10.5116666666667,72574,483.826666666667,598.046393499889,102.813166666667,700.859560166556,-217.032893499889,"Rent"
"22",Oct 1988,10.326,72822,485.48,591.009071277004,103.1645,694.173571277004,-208.693571277004,"Rent"
"23",Nov 1988,10.256,73064,487.093333333333,589.548024825715,103.507333333333,693.055358159048,-205.962024825715,"Rent"
"24",Dec 1988,10.575,73278,488.52,606.973441503196,103.8105,710.783941503196,-222.263941503196,"Rent"
"25",Jan 1989,10.738,73617,490.78,617.883297211819,104.29075,722.174047211819,-231.394047211819,"Rent"
"26",Feb 1989,10.636,73967,493.113333333333,615.723573856957,104.786583333333,720.51015719029,-227.396823856957,"Rent"
"27",Mar 1989,10.99,74409,496.06,637.246906369867,105.41275,742.659656369867,-246.599656369867,"Rent"
"28",Apr 1989,11.078,74867,499.113333333333,645.652814552283,106.061583333333,751.714397885616,-252.601064552283,"Rent"
"29",May 1989,10.824,75295,501.966666666667,636.350824033536,106.667916666667,743.018740700202,-241.052074033536,"Rent"
"30",Jun 1989,10.2466666666667,75695,504.633333333333,610.304683968935,107.234583333333,717.539267302268,-212.905933968935,"Rent"
"31",Jul 1989,9.92,76041,506.94,596.540931398501,107.72475,704.265681398501,-197.325681398501,"Rent"
